Date,value
4/1/2016,10000000
5/1/2016,10021594.41
6/1/2016,9950650.857
7/1/2016,9799509.825
8/1/2016,9679213.607
11/1/2016,9732267.072
12/1/2016,9799509.825
13/1/2016,9599014.528
14/1/2016,9667493.121
15/1/2016,9534240.577
19/1/2016,9555832.107
20/1/2016,9475633.989
21/1/2016,9454042.138
22/1/2016,9614438.056
25/1/2016,9543494.822
26/1/2016,9642507.429
27/1/2016,9543494.822
28/1/2016,9577423.958
29/1/2016,9713143.383
1/2/2016,9713143.383
2/2/2016,9602101.41
3/2/2016,9568170.994
4/2/2016,9555832.107
5/2/2016,9454042.138
8/2/2016,9407775.396
9/2/2016,9423199.884
10/2/2016,9407775.396
11/2/2016,9330662.879
12/2/2016,9417029.961
16/2/2016,9546578.503
17/2/2016,9608268.132
18/2/2016,9592845.885
19/2/2016,9605184.451
22/2/2016,9666876.321
23/2/2016,9595931.487
24/2/2016,9632944.304
25/2/2016,9669959.682
26/2/2016,9651143.593
29/2/2016,9571255.315
1/3/2016,9700805.457
2/3/2016,9706974.1
3/3/2016,9716227.064
4/3/2016,9716227.064
7/3/2016,9710059.062
8/3/2016,9660705.438
9/3/2016,9691551.533
10/3/2016,9697720.816
11/3/2016,9787170.938
14/3/2016,9784086.937
15/3/2016,9781001.655
16/3/2016,9818016.713
17/3/2016,9850402.409
18/3/2016,9836523.282
21/3/2016,9848861.528
22/3/2016,9845775.606
23/3/2016,9836813.918
24/3/2016,9830629.911
28/3/2016,9849177.77
29/3/2016,9917188.722
30/3/2016,9938829.545
31/3/2016,9892147.976
1/4/2016,9926461.852
4/4/2016,9889365.173
5/4/2016,9873908.356
6/4/2016,9926461.852
7/4/2016,9858450.9
8/4/2016,9877001.96
11/4/2016,9861541.943
12/4/2016,9914097.679
13/4/2016,9957376.125
14/4/2016,9932644.258
15/4/2016,9898640.223
18/4/2016,9941918.028
19/4/2016,9951192.438
20/4/2016,9926461.852
21/4/2016,9883181.486
22/4/2016,9870816.033
25/4/2016,9864634.267
26/4/2016,9904822.949
27/4/2016,9917188.722
28/4/2016,9839904.321
29/4/2016,9805897.084
2/5/2016,9861852.104
3/5/2016,9808988.448
4/5/2016,9779311.616
5/5/2016,9725522.6
6/5/2016,9768799.765
9/5/2016,9781166.498
10/5/2016,9827538.868
11/5/2016,9778075.455
12/5/2016,9728613.003
13/5/2016,9676368.067
16/5/2016,9761073.277
17/5/2016,9663695.015
18/5/2016,9625050.413
19/5/2016,9584863.011
20/5/2016,9669877.741
23/5/2016,9635871.145
24/5/2016,9734796.369
25/5/2016,9818263.498
26/5/2016,9804351.083
27/5/2016,9839904.321
31/5/2016,9842994.724
1/6/2016,9849177.77
2/6/2016,9870816.033
3/6/2016,9861541.943
6/6/2016,9923370.809
7/6/2016,9987673.277
8/6/2016,10028474.92
9/6/2016,10019203.71
10/6/2016,9889365.173
13/6/2016,9821355.181
14/6/2016,9799714.998
15/6/2016,9812081.411
16/6/2016,9796623.955
17/6/2016,9790441.868
20/6/2016,9870816.033
21/6/2016,9884728.448
22/6/2016,9880701.481
23/6/2016,9979215.399
24/6/2016,9703496.717
27/6/2016,9510803.127
28/6/2016,9628525.556
29/6/2016,9780327.56
30/6/2016,9857776.165
1/7/2016,9910441.369
5/7/2016,9836090.21
6/7/2016,9869238.023
7/7/2016,9876363.394
8/7/2016,10025068.27
11/7/2016,10077733.48
12/7/2016,10173771.55
13/7/2016,10179967.08
14/7/2016,10220239.31
15/7/2016,10229532.28
18/7/2016,10248430.63
19/7/2016,10207846.01
20/7/2016,10241926.86
21/7/2016,10210947.29
22/7/2016,10248123.03
25/7/2016,10241926.86
26/7/2016,10285297.17
27/7/2016,10266710.58
28/7/2016,10269809.63
29/7/2016,10279099.08
1/8/2016,10263612.82
2/8/2016,10145887.19
3/8/2016,10195147.35
4/8/2016,10208158.41
5/8/2016,10294588.87
8/8/2016,10285297.17
9/8/2016,10245025.27
10/8/2016,10210947.29
11/8/2016,10276003.88
12/8/2016,10238826.22
15/8/2016,10285609.57
16/8/2016,10241926.86
17/8/2016,10241926.86
18/8/2016,10306984.73
19/8/2016,10282199.41
22/8/2016,10263612.82
23/8/2016,10300785.68
24/8/2016,10238826.22
25/8/2016,10221789.47
26/8/2016,10198554.63
29/8/2016,10219617.07
30/8/2016,10198554.63
31/8/2016,10167570.58
1/9/2016,10189260.7
2/9/2016,10232630.05
6/9/2016,10254317.28
7/9/2016,10264230.9
8/9/2016,10255559.2
9/9/2016,10068748.42
12/9/2016,10152704.64
13/9/2016,10037461.57
14/9/2016,10031261.88
15/9/2016,10128848.2
16/9/2016,10119555.23
19/9/2016,10170054.11
20/9/2016,10145887.19
21/9/2016,10213250.61
22/9/2016,10304209.29
23/9/2016,10263231.92
26/9/2016,10166687.15
27/9/2016,10221945.03
28/9/2016,10247397.72
29/9/2016,10197417.7
30/9/2016,10262923.04
3/10/2016,10228771.76
4/10/2016,10216355.74
5/10/2016,10269128.17
6/10/2016,10247397.72
7/10/2016,10230639.77
10/10/2016,10269128.17
11/10/2016,10169790.36
12/10/2016,10157376.89
13/10/2016,10129433.63
14/10/2016,10126332.35
17/10/2016,10085975.3
18/10/2016,10169790.36
19/10/2016,10160478.18
20/10/2016,10120120.49
21/10/2016,10112359.12
24/10/2016,10157376.89
25/10/2016,10157376.89
26/10/2016,10132539.4
27/10/2016,10131299.4
28/10/2016,10079766.97
31/10/2016,10085975.3
1/11/2016,10005261.53
2/11/2016,9980428.515
3/11/2016,9909027.882
4/11/2016,9915237.495
7/11/2016,10072624.63
8/11/2016,10117017.29
9/11/2016,10313832.27
10/11/2016,10359467.8
11/11/2016,10383990.98
14/11/2016,10427453.15
15/11/2016,10442969.82
16/11/2016,10433660.84
17/11/2016,10474017.89
18/11/2016,10476810.29
21/11/2016,10526789.36
22/11/2016,10579563.07
23/11/2016,10616817.55
25/11/2016,10647855.7
28/11/2016,10588874.61
29/11/2016,10613708.91
30/11/2016,10583286.92
1/12/2016,10567147.69
2/12/2016,10602536.4
5/12/2016,10657171.08
6/12/2016,10740989.34
7/12/2016,10855850.54
8/12/2016,10893101.5
9/12/2016,10889998.94
12/12/2016,10862056.96
13/12/2016,10908620.74
14/12/2016,10827911.12
15/12/2016,10914831.95
16/12/2016,10846536.76
19/12/2016,10893101.5
20/12/2016,10950220.67
21/12/2016,10910935.58
22/12/2016,10844211.68
23/12/2016,10875390.66
27/12/2016,10928083.71
28/12/2016,10819266.32
29/12/2016,10802120.74
30/12/2016,10756907.71
3/1/2017,10806796.2
4/1/2017,10909686.61
