,0
2016-01-04,10000000.0
2016-01-05,10036772.301732203
2016-01-06,10073608.7602019
2016-01-07,10079462.709732477
2016-01-08,10081585.169228062
2016-01-11,10127286.455527816
2016-01-12,10100139.290766703
2016-01-13,10097915.14421733
2016-01-14,10137626.889333788
2016-01-15,10124895.085044889
2016-01-19,10129419.549449835
2016-01-20,10141888.01868951
2016-01-21,10155181.598737625
2016-01-22,10159511.093315167
2016-01-25,10120410.8711429
2016-01-26,10097997.978481123
2016-01-27,10069354.597436858
2016-01-28,10140046.947323881
2016-01-29,10170470.090209704
2016-02-01,10173693.858857395
2016-02-02,10133442.170301376
2016-02-03,10119061.521706369
2016-02-04,10224704.408841677
2016-02-05,10260559.2143808
2016-02-08,10271541.49022741
2016-02-09,10246330.09069091
2016-02-10,10237139.79914554
2016-02-11,10238867.380718747
2016-02-12,10202062.273880413
2016-02-16,10270223.211008616
2016-02-17,10310285.15347538
2016-02-18,10374264.783453742
2016-02-19,10293880.566164924
2016-02-22,10315151.742039043
2016-02-23,10315493.295398178
2016-02-24,10247519.199373174
2016-02-25,10219177.701329915
2016-02-26,10352236.647417095
2016-02-29,10403485.072629921
2016-03-01,10406896.87671515
2016-03-02,10418642.416934513
2016-03-03,10516577.285671458
2016-03-04,10607004.344030073
2016-03-07,10658605.758681895
2016-03-08,10674088.780010343
2016-03-09,10617792.482127516
2016-03-10,10602083.152887292
2016-03-11,10749182.751706323
2016-03-14,10758727.398170298
2016-03-15,10734424.059649874
2016-03-16,10708229.784927383
2016-03-17,10770483.708072258
2016-03-18,10802090.343538951
2016-03-21,10762124.784795186
2016-03-22,10645984.547403716
2016-03-23,10692957.869170394
2016-03-24,10646076.174348108
2016-03-28,10752201.523003634
2016-03-29,10690185.73460014
2016-03-30,10729247.59071599
2016-03-31,10714804.236046553
2016-04-01,10661374.094951581
2016-04-04,10665313.644173384
2016-04-05,10623216.264086986
2016-04-06,10633475.209675362
2016-04-07,10578183.130066782
2016-04-08,10494268.798369927
2016-04-11,10566707.952536263
2016-04-12,10632138.48682642
2016-04-13,10691913.5645982
2016-04-14,10790324.86353971
2016-04-15,10815068.50676371
2016-04-18,10830164.163906706
2016-04-19,10864949.373889636
2016-04-20,10936099.48499275
2016-04-21,11256615.647823647
2016-04-22,11187847.101411723
2016-04-25,11212563.901307484
2016-04-26,11174899.75046561
2016-04-27,11179387.545659121
2016-04-28,11271989.248568088
2016-04-29,11255270.766655939
2016-05-02,11230439.368221186
2016-05-03,11265314.766187241
2016-05-04,11247260.224976594
2016-05-05,11236389.473535849
2016-05-06,11210721.35881324
2016-05-09,11231500.638652746
2016-05-10,11148227.079190498
2016-05-11,11163625.109507624
2016-05-12,11167038.02730386
2016-05-13,10997455.552311102
2016-05-16,11019970.354991466
2016-05-17,11068776.545533538
2016-05-18,11080968.785642881
2016-05-19,11106620.88611374
2016-05-20,11116120.050935386
2016-05-23,11115156.83534996
2016-05-24,11156292.103517875
2016-05-25,11174615.078438366
2016-05-26,11270269.768557098
2016-05-27,11239210.541516213
2016-05-31,11246999.144611754
2016-06-01,11261139.911326323
2016-06-02,11235592.395673517
2016-06-03,11257042.003311308
2016-06-06,11246161.926045319
2016-06-07,11268166.83011926
2016-06-08,11348858.084236918
2016-06-09,11343396.923095023
2016-06-10,11312863.814980805
2016-06-13,11248350.834346801
2016-06-14,11249262.52881978
2016-06-15,11234410.14883986
2016-06-16,11227795.862868847
2016-06-17,11245642.585950537
2016-06-20,11304166.41600264
2016-06-21,11308056.484758917
2016-06-22,11263106.126021635
2016-06-23,11285421.361071764
2016-06-24,11168792.050116543
2016-06-27,11118303.6524365
2016-06-28,11139756.319204764
2016-06-29,11183759.325695455
2016-06-30,11209794.035423068
2016-07-01,11189506.576944172
2016-07-05,11238084.708916
2016-07-06,11135820.089081543
2016-07-07,11218381.846210703
2016-07-08,11228130.39045447
2016-07-11,11330357.667832598
2016-07-12,11360757.87091548
2016-07-13,11430175.891421508
2016-07-14,11437325.53129247
2016-07-15,11411181.511542266
2016-07-18,11366998.948371634
2016-07-19,11478449.330407824
2016-07-20,11470214.596738422
2016-07-21,11487971.42287403
2016-07-22,11534644.692785503
2016-07-25,11529344.028228883
2016-07-26,11620462.422567163
2016-07-27,11595308.126315031
2016-07-28,11664774.491921473
2016-07-29,11670500.855098553
2016-08-01,11687137.53034202
2016-08-02,11691120.875998134
2016-08-03,11655996.421767421
2016-08-04,11687314.804760782
2016-08-05,11595959.87339193
2016-08-08,11569491.268756371
2016-08-09,11605454.738322157
