,0
0,Automobiles & Components
1,Banks
2,Capital Goods
3,Commercial & Professional Services
4,Communication Services
5,Consumer Durables & Apparel
6,Consumer Services
7,Diversified Financials
8,Energy
9,Food & Staples Retailing
10,"Food, Beverage & Tobacco"
11,Health Care Equipment & Services
12,Household & Personal Products
13,Insurance
14,Materials
15,Media & Entertainment
16,"Pharmaceuticals, Biotechnology & Life Sciences"
17,Real Estate
18,Retailing
19,Semiconductors & Semiconductor Equipment
20,Software & Services
21,Technology Hardware & Equipment
22,Transportation
23,Utilities
